record_id,month,day,year,hour,minute,second,timestamp,Fsensor-start,value,sensor-runtime,error-bitfield,record-type,reading-type,FerrorLO,arrow
271,11,3,17,5,17,45,1509657465,0,98,3210,0,-1,-1,-1,-1
272,11,3,17,5,32,45,1509658365,0,97,3225,0,-1,-1,-1,-1
273,11,3,17,5,47,45,1509659265,0,112,3240,0,-1,-1,-1,-1
274,11,3,17,6,2,45,1509660165,0,116,3255,0,-1,-1,-1,-1
275,11,3,17,6,17,45,1509661065,0,106,3270,0,-1,-1,-1,-1
276,11,3,17,6,32,45,1509661965,0,106,3285,0,-1,-1,-1,-1
277,11,3,17,6,47,45,1509662865,0,106,3300,0,-1,-1,-1,-1
278,11,3,17,7,2,45,1509663765,0,102,3315,0,-1,-1,-1,-1
279,11,3,17,7,17,45,1509664665,0,95,3330,0,-1,-1,-1,-1
280,11,3,17,7,32,45,1509665565,0,88,3345,0,-1,-1,-1,-1
281,11,3,17,7,47,45,1509666465,0,84,3360,0,-1,-1,-1,-1
282,11,3,17,8,2,45,1509667365,0,88,3375,0,-1,-1,-1,-1
283,11,3,17,8,17,45,1509668265,0,95,3390,0,-1,-1,-1,-1
284,11,3,17,8,32,45,1509669165,0,99,3405,0,-1,-1,-1,-1
285,11,3,17,8,47,45,1509670065,0,100,3420,0,-1,-1,-1,-1
286,11,3,17,9,2,45,1509670965,0,94,3435,0,-1,-1,-1,-1
287,11,3,17,9,17,45,1509671865,0,83,3450,0,-1,-1,-1,-1
288,11,3,17,9,32,45,1509672765,0,90,3465,0,-1,-1,-1,-1
289,11,3,17,9,47,45,1509673665,0,107,3480,0,-1,-1,-1,-1
290,11,3,17,10,2,45,1509674565,0,104,3495,0,-1,-1,-1,-1
291,11,3,17,10,17,45,1509675465,0,89,3510,0,-1,-1,-1,-1
292,11,3,17,10,32,45,1509676365,0,83,3525,0,-1,-1,-1,-1
293,11,3,17,10,47,45,1509677265,0,78,3540,0,-1,-1,-1,-1
294,11,3,17,11,2,45,1509678165,0,69,3555,0,-1,-1,-1,-1
295,11,3,17,11,17,45,1509679065,0,70,3570,0,-1,-1,-1,-1
296,11,3,17,11,32,45,1509679965,0,82,3585,0,-1,-1,-1,-1
297,11,3,17,11,47,45,1509680865,0,87,3600,0,-1,-1,-1,-1
298,11,3,17,12,2,45,1509681765,0,89,3615,0,-1,-1,-1,-1
299,11,3,17,12,17,45,1509682665,0,93,3630,0,-1,-1,-1,-1
186,11,1,17,20,7,32,1509538052,-1,0,-1,100,2,1,2,0
239,11,2,17,7,21,51,1509578511,-1,0,-1,113,2,1,2,0
302,11,3,17,12,41,5,1509684065,-1,0,-1,123,2,1,2,0
300,11,3,17,12,33,45,1509683625,-1,0,-1,124,2,1,2,0
86,10,31,17,23,51,59,1509465119,1,0,15,32768,-1,-1,-1,-1
87,11,1,17,0,6,59,1509466019,0,0,30,32768,-1,-1,-1,-1
88,11,1,17,0,21,59,1509466919,0,0,45,32768,-1,-1,-1,-1
96,11,1,17,1,59,6,1509472746,-1,0,-1,60,2,1,2,0
127,11,1,17,7,17,6,1509491826,-1,0,-1,62,2,1,2,0
99,11,1,17,2,8,6,1509473286,-1,0,-1,65,2,1,2,0
131,11,1,17,7,46,44,1509493604,-1,0,-1,74,2,1,2,0
118,11,1,17,5,33,33,1509485613,-1,0,-1,77,2,1,2,0
158,11,1,17,13,57,46,1509515866,-1,0,-1,81,2,1,2,0
267,11,2,17,13,48,24,1509601704,-1,0,-1,82,2,1,2,0
92,11,1,17,1,30,59,1509471059,-1,0,-1,84,2,1,2,0
191,11,1,17,20,22,38,1509538958,-1,0,-1,84,2,1,2,0
114,11,1,17,5,0,2,1509483602,-1,0,-1,90,2,1,2,0
104,11,1,17,2,55,53,1509476153,-1,0,-1,93,2,1,2,0
180,11,1,17,19,4,25,1509534265,-1,0,-1,93,2,1,2,0
189,11,1,17,20,12,21,1509538341,-1,0,-1,93,2,1,2,0
210,11,2,17,0,38,42,1509554322,-1,0,-1,95,2,1,2,0
