"gRaw","tRaw","gVal","tVal","type","readTime","sensorTime","estDriftMin","estDriftMax","estTimeStamp","sensorID"
"14","9170","-2.6065187","25.086758","0","1511936541","817020","0","0","1511936481","M000285DRH"
"14","9446","-2.6065187","24.542484","0","1511936541","817020","0","0","1511936541","M000285DRH"
"0","56734","-2.7475557","36.295605","1","1511935395","815880","0","0","1511905695","M000285DRH"
"0","9710","-2.7475557","24.021877","1","1511935395","815880","0","0","1511906595","M000285DRH"
"0","9730","-2.7475557","23.982437","1","1511935395","815880","0","0","1511907495","M000285DRH"
"0","9706","-2.7475557","24.029764","1","1511935395","815880","0","0","1511908395","M000285DRH"
"0","9774","-2.7475557","23.89567","1","1511935395","815880","0","0","1511909295","M000285DRH"
"0","26502","-2.7475557","23.2173","1","1511935395","815880","0","0","1511910195","M000285DRH"
"0","26790","-2.7475557","22.649364","1","1511935395","815880","0","0","1511911095","M000285DRH"
"258","45128","-0.14844441","26.873388","1","1511935395","815880","0","0","1511911995","M000285DRH"
"281","44748","0.08325921","19.545437","1","1511935395","815880","0","0","1511912895","M000285DRH"
"274","44968","0.0127408765","19.111597","1","1511935395","815880","0","0","1511913795","M000285DRH"
"274","45020","0.0127408765","19.009052","1","1511935395","815880","0","0","1511914695","M000285DRH"
"279","45016","0.06311115","19.016941","1","1511935395","815880","0","0","1511915595","M000285DRH"
"284","45056","0.11348147","27.015373","1","1511935395","815880","0","0","1511916495","M000285DRH"
"286","45088","0.13362974","26.952269","1","1511935395","815880","0","0","1511917395","M000285DRH"
"286","45124","0.13362974","26.881277","1","1511935395","815880","0","0","1511918295","M000285DRH"
"287","45144","0.14370367","26.841837","1","1511935395","815880","0","0","1511919195","M000285DRH"
"285","45156","0.12355561","26.818172","1","1511935395","815880","0","0","1511920095","M000285DRH"
"286","45180","0.13362974","26.770845","1","1511935395","815880","0","0","1511920995","M000285DRH"
"287","45196","0.14370367","26.739294","1","1511935395","815880","0","0","1511921895","M000285DRH"
"291","45224","0.18400007","26.684076","1","1511935395","815880","0","0","1511922795","M000285DRH"
"287","45236","0.14370367","26.660414","1","1511935395","815880","0","0","1511923695","M000285DRH"
"286","45256","0.13362974","26.620974","1","1511935395","815880","0","0","1511924595","M000285DRH"
"286","45280","0.13362974","26.573645","1","1511935395","815880","0","0","1511925495","M000285DRH"
"288","45304","0.15377781","26.526318","1","1511935395","815880","0","0","1511926395","M000285DRH"
"288","45344","0.15377781","26.447437","1","1511935395","815880","0","0","1511927295","M000285DRH"
"287","45368","0.14370367","26.400108","1","1511935395","815880","0","0","1511928195","M000285DRH"
"291","61756","0.18400007","26.392221","1","1511935395","815880","0","0","1511929095","M000285DRH"
"294","45368","0.21422227","26.400108","1","1511935395","815880","0","0","1511929995","M000285DRH"
"296","45368","0.23437034","26.400108","1","1511935395","815880","0","0","1511930895","M000285DRH"
"299","45364","0.2645926","26.407997","1","1511935395","815880","0","0","1511931795","M000285DRH"
"304","61744","0.31496307","26.415886","1","1511935395","815880","0","0","1511932695","M000285DRH"
"310","45340","0.37540755","26.455326","1","1511935395","815880","0","0","1511933595","M000285DRH"
"17","8826","-2.5762966","25.765125","0","1511935395","815880","0","0","1511934495","M000285DRH"
"17","57734","-2.5762966","26.246294","0","1511935395","815880","0","0","1511934555","M000285DRH"
"17","57682","-2.5762966","26.348837","0","1511935395","815880","0","0","1511934615","M000285DRH"
"19","57526","-2.5561483","26.65647","0","1511935395","815880","0","0","1511934675","M000285DRH"
"20","57378","-2.5460744","26.948326","0","1511935395","815880","0","0","1511934735","M000285DRH"
"20","57066","-2.5460744","35.6409","0","1511935395","815880","0","0","1511934795","M000285DRH"
"26","56590","-2.4856298","36.579575","0","1511935395","815880","0","0","1511934855","M000285DRH"
"22","56734","-2.5259259","36.295605","0","1511935395","815880","0","0","1511934915","M000285DRH"
"22","56994","-2.5259259","35.782887","0","1511935395","815880","0","0","1511934975","M000285DRH"
"14","9030","-2.6065187","25.362837","0","1511935395","815880","0","0","1511935035","M000285DRH"
"13","26066","-2.6165926","24.077093","0","1511935395","815880","0","0","1511935095","M000285DRH"
"13","26066","-2.6165926","24.077093","0","1511935395","815880","0","0","1511935155","M000285DRH"
"12","9686","-2.6266668","24.069204","0","1511935395","815880","0","0","1511935215","M000285DRH"
"14","9690","-2.6065187","24.061317","0","1511935395","815880","0","0","1511935275","M000285DRH"
"15","9686","-2.5964446","24.069204","0","1511935395","815880","0","0","1511935335","M000285DRH"
"14","9686","-2.6065187","24.069204","0","1511935395","815880","0","0","1511935395","M000285DRH"
"0","0","-2.7475557","43.17","1","1511935308","0","0","0","1511905608","M000285DRH"
"0","0","-2.7475557","43.17","1","1511935308","0","0","0","1511906508","M000285DRH"
"0","0","-2.7475557","43.17","1","1511935308","0","0","0","1511907408","M000285DRH"
"0","0","-2.7475557","43.17","1","1511935308","0","0","0","1511908308","M000285DRH"
"0","0","-2.7475557","43.17","1","1511935308","0","0","0","1511909208","M000285DRH"
"0","0","-2.7475557","43.17","1","1511935308","0","0","0","1511910108","M000285DRH"
"0","0","-2.7475557","43.17","1","1511935308","0","0","0","1511911008","M000285DRH"
"0","0","-2.7475557","43.17","1","1511935308","0","0","0","1511911908","M000285DRH"
"0","0","-2.7475557","43.17","1","1511935308","0","0","0","1511912808","M000285DRH"
"0","0","-2.7475557","43.17","1","1511935308","0","0","0","1511913708","M000285DRH"
"0","0","-2.7475557","43.17","1","1511935308","0","0","0","1511914608","M000285DRH"
"0","0","-2.7475557","43.17","1","1511935308","0","0","0","1511915508","M000285DRH"
"0","0","-2.7475557","43.17","1","1511935308","0","0","0","1511916408","M000285DRH"
"0","0","-2.7475557","43.17","1","1511935308","0","0","0","1511917308","M000285DRH"
"0","0","-2.7475557","43.17","1","1511935308","0","0","0","1511918208","M000285DRH"
"0","0","-2.7475557","43.17","1","1511935308","0","0","0","1511919108","M000285DRH"
"0","0","-2.7475557","43.17","1","1511935308","0","0","0","1511920008","M000285DRH"
"0","0","-2.7475557","43.17","1","1511935308","0","0","0","1511920908","M000285DRH"
"0","0","-2.7475557","43.17","1","1511935308","0","0","0","1511921808","M000285DRH"
"0","0","-2.7475557","43.17","1","1511935308","0","0","0","1511922708","M000285DRH"
"0","0","-2.7475557","43.17","1","1511935308","0","0","0","1511923608","M000285DRH"
"0","0","-2.7475557","43.17","1","1511935308","0","0","0","1511924508","M000285DRH"
